date,datetime,cash_type,card,money,coffee_name
01/03/2024,10:15:51 AM,card,ANON-0000-0000-0001,38.7,Latte
01/03/2024,12:19:23 PM,card,ANON-0000-0000-0002,38.7,Hot Chocolate
01/03/2024,12:20:18 PM,card,ANON-0000-0000-0002,38.7,Hot Chocolate
01/03/2024,1:46:33 PM,card,ANON-0000-0000-0003,28.9,Americano
01/03/2024,1:48:15 PM,card,ANON-0000-0000-0004,38.7,Latte
01/03/2024,3:39:48 PM,card,ANON-0000-0000-0005,33.8,Americano with Milk
01/03/2024,4:19:03 PM,card,ANON-0000-0000-0006,38.7,Hot Chocolate
01/03/2024,6:39:04 PM,card,ANON-0000-0000-0007,33.8,Americano with Milk
01/03/2024,7:22:02 PM,card,ANON-0000-0000-0008,38.7,Cocoa
01/03/2024,7:23:16 PM,card,ANON-0000-0000-0008,33.8,Americano with Milk
01/03/2024,7:29:17 PM,card,ANON-0000-0000-0009,33.8,Americano with Milk
02/03/2024,10:22:07 AM,card,ANON-0000-0000-0010,28.9,Americano
02/03/2024,10:30:36 AM,cash,,40,Latte
02/03/2024,10:41:41 AM,card,ANON-0000-0000-0011,33.8,Americano with Milk
02/03/2024,11:59:45 AM,card,ANON-0000-0000-0012,33.8,Americano with Milk
02/03/2024,2:38:36 PM,card,ANON-0000-0000-0013,28.9,Americano
02/03/2024,4:37:24 PM,card,ANON-0000-0000-0014,33.8,Americano with Milk
02/03/2024,5:34:55 PM,card,ANON-0000-0000-0004,28.9,Americano
03/03/2024,10:10:44 AM,cash,,40,Latte
03/03/2024,10:27:19 AM,card,ANON-0000-0000-0015,38.7,Latte
03/03/2024,11:33:56 AM,card,ANON-0000-0000-0016,28.9,Cortado
03/03/2024,12:26:56 PM,card,ANON-0000-0000-0012,28.9,Americano
03/03/2024,1:09:36 PM,card,ANON-0000-0000-0017,38.7,Hot Chocolate
03/03/2024,5:06:40 PM,card,ANON-0000-0000-0018,38.7,Cocoa
03/03/2024,5:08:46 PM,card,ANON-0000-0000-0019,28.9,Cortado
03/03/2024,6:03:23 PM,card,ANON-0000-0000-0020,33.8,Americano with Milk
03/03/2024,6:04:28 PM,card,ANON-0000-0000-0020,33.8,Americano with Milk
03/03/2024,6:08:05 PM,card,ANON-0000-0000-0020,38.7,Hot Chocolate
04/03/2024,10:03:52 AM,card,ANON-0000-0000-0001,38.7,Latte
04/03/2024,10:54:51 AM,card,ANON-0000-0000-0021,38.7,Latte
04/03/2024,11:05:16 AM,card,ANON-0000-0000-0012,33.8,Americano with Milk
04/03/2024,2:04:38 PM,card,ANON-0000-0000-0022,24,Espresso
05/03/2024,9:59:53 AM,card,ANON-0000-0000-0001,38.7,Latte
05/03/2024,2:34:56 PM,card,ANON-0000-0000-0023,38.7,Latte
05/03/2024,5:34:06 PM,card,ANON-0000-0000-0024,38.7,Latte
05/03/2024,5:35:25 PM,card,ANON-0000-0000-0025,38.7,Hot Chocolate
05/03/2024,5:36:29 PM,card,ANON-0000-0000-0026,38.7,Cocoa
05/03/2024,5:37:14 PM,card,ANON-0000-0000-0027,38.7,Hot Chocolate
05/03/2024,5:38:09 PM,card,ANON-0000-0000-0009,38.7,Hot Chocolate
05/03/2024,5:56:16 PM,card,ANON-0000-0000-0028,28.9,Cortado
05/03/2024,6:01:31 PM,card,ANON-0000-0000-0028,38.7,Hot Chocolate
06/03/2024,12:30:27 PM,cash,,35,Americano with Milk
06/03/2024,1:24:08 PM,card,ANON-0000-0000-0012,28.9,Americano
06/03/2024,1:25:14 PM,card,ANON-0000-0000-0012,28.9,Cortado
06/03/2024,2:52:02 PM,card,ANON-0000-0000-0029,38.7,Cappuccino
06/03/2024,2:53:18 PM,card,ANON-0000-0000-0029,38.7,Cappuccino
07/03/2024,10:08:59 AM,cash,,40,Latte
07/03/2024,10:18:41 AM,card,ANON-0000-0000-0030,38.7,Hot Chocolate
07/03/2024,11:03:59 AM,card,ANON-0000-0000-0031,38.7,Latte
07/03/2024,11:25:44 AM,cash,,40,Latte
07/03/2024,3:40:23 PM,card,ANON-0000-0000-0032,28.9,Americano
07/03/2024,3:41:29 PM,card,ANON-0000-0000-0033,33.8,Americano with Milk
08/03/2024,10:34:41 AM,card,ANON-0000-0000-0012,28.9,Cortado
08/03/2024,12:22:29 PM,card,ANON-0000-0000-0034,38.7,Cappuccino
08/03/2024,1:53:02 PM,card,ANON-0000-0000-0035,28.9,Americano
08/03/2024,2:44:13 PM,card,ANON-0000-0000-0012,28.9,Americano
08/03/2024,2:45:11 PM,card,ANON-0000-0000-0033,28.9,Americano
08/03/2024,2:46:11 PM,card,ANON-0000-0000-0012,33.8,Americano with Milk
08/03/2024,6:57:51 PM,card,ANON-0000-0000-0036,38.7,Latte
08/03/2024,6:59:25 PM,card,ANON-0000-0000-0037,38.7,Latte
09/03/2024,11:49:37 AM,cash,,40,Hot Chocolate
09/03/2024,12:05:16 PM,card,ANON-0000-0000-0038,24,Espresso
09/03/2024,12:07:38 PM,card,ANON-0000-0000-0039,28.9,Americano
09/03/2024,12:09:48 PM,card,ANON-0000-0000-0012,38.7,Cappuccino
09/03/2024,12:13:04 PM,card,ANON-0000-0000-0040,28.9,Americano
09/03/2024,12:14:26 PM,card,ANON-0000-0000-0040,28.9,Americano
09/03/2024,1:09:22 PM,card,ANON-0000-0000-0041,38.7,Latte
09/03/2024,1:41:06 PM,card,ANON-0000-0000-0042,33.8,Americano with Milk
09/03/2024,1:53:10 PM,card,ANON-0000-0000-0043,28.9,Cortado
09/03/2024,1:54:37 PM,card,ANON-0000-0000-0043,38.7,Cappuccino
09/03/2024,2:08:02 PM,card,ANON-0000-0000-0009,33.8,Americano with Milk
09/03/2024,2:26:53 PM,card,ANON-0000-0000-0044,38.7,Hot Chocolate
09/03/2024,7:17:58 PM,card,ANON-0000-0000-0009,38.7,Cappuccino
09/03/2024,7:19:10 PM,card,ANON-0000-0000-0009,38.7,Hot Chocolate
10/03/2024,7:44:19 AM,cash,,30,Americano
10/03/2024,7:45:29 AM,cash,,35,Americano with Milk
10/03/2024,10:06:03 AM,cash,,40,Latte
10/03/2024,11:19:21 AM,card,ANON-0000-0000-0045,24,Espresso
10/03/2024,5:51:03 PM,cash,,35,Americano with Milk
10/03/2024,7:34:00 PM,card,ANON-0000-0000-0046,38.7,Latte
10/03/2024,7:35:55 PM,card,ANON-0000-0000-0046,28.9,Cortado
11/03/2024,10:18:47 AM,cash,,40,Latte
11/03/2024,11:24:15 AM,cash,,40,Cappuccino
11/03/2024,11:24:52 AM,cash,,30,Cortado
11/03/2024,11:26:44 AM,cash,,30,Americano
11/03/2024,11:32:59 AM,card,ANON-0000-0000-0035,38.7,Cappuccino
11/03/2024,4:24:26 PM,card,ANON-0000-0000-0047,28.9,Americano
11/03/2024,4:25:46 PM,card,ANON-0000-0000-0047,38.7,Latte
11/03/2024,4:50:50 PM,card,ANON-0000-0000-0048,28.9,Cortado
12/03/2024,10:15:00 AM,cash,,40,Latte
12/03/2024,10:15:35 AM,card,ANON-0000-0000-0033,28.9,Americano
12/03/2024,10:16:25 AM,card,ANON-0000-0000-0033,28.9,Cortado
